column_name,role,source_feature,dtype,imputation_used,missing_before,missing_after,note
ticker,metadata,ticker,object,none,0,0,other
event_date,metadata,event_date,object,none,0,0,other
drug_name,metadata,drug_name,object,none,0,7,other
nct_id,metadata,nct_id,object,none,0,45,other
target_large_move,target,target_large_move,int64,none,0,0,other
feat_asset_event_sequence_num,feature,feat_asset_event_sequence_num,int64,none,0,0,numeric
feat_asset_trial_share,feature,feat_asset_trial_share,float64,median=0.0000,701,0,numeric
feat_cash_runway_proxy,feature,feat_cash_runway_proxy,float64,median=0.1718,3,0,numeric
feat_company_event_sequence_num,feature,feat_company_event_sequence_num,int64,none,0,0,numeric
feat_pipeline_depth_score,feature,feat_pipeline_depth_score,float64,none,0,0,numeric
feat_pivotal_proxy_score,feature,feat_pivotal_proxy_score,float64,median=0.0000,701,0,numeric
feat_active_not_recruiting_at_event_flag,feature,feat_active_not_recruiting_at_event_flag,float64,0 (absent),45,0,binary flag
feat_blinded_flag,feature,feat_blinded_flag,int64,none,0,0,binary flag
feat_cns_flag,feature,feat_cns_flag,int64,none,0,0,binary flag
feat_completed_at_event_flag,feature,feat_completed_at_event_flag,float64,0 (absent),45,0,binary flag
feat_oncology_flag,feature,feat_oncology_flag,int64,none,0,0,binary flag
feat_open_label_flag,feature,feat_open_label_flag,int64,none,0,0,binary flag
feat_rare_disease_flag,feature,feat_rare_disease_flag,int64,none,0,0,binary flag
feat_small_trial_flag,feature,feat_small_trial_flag,float64,0 (absent),47,0,binary flag
feat_therapeutic_superclass_CNS,feature,feat_therapeutic_superclass,int64,none,0,0,one-hot encoded
feat_therapeutic_superclass_Cardiovascular,feature,feat_therapeutic_superclass,int64,none,0,0,one-hot encoded
feat_therapeutic_superclass_Dermatology,feature,feat_therapeutic_superclass,int64,none,0,0,one-hot encoded
feat_therapeutic_superclass_Endocrine/Metabolic,feature,feat_therapeutic_superclass,int64,none,0,0,one-hot encoded
feat_therapeutic_superclass_GI/Hepatology,feature,feat_therapeutic_superclass,int64,none,0,0,one-hot encoded
feat_therapeutic_superclass_Immunology,feature,feat_therapeutic_superclass,int64,none,0,0,one-hot encoded
feat_therapeutic_superclass_Infectious Disease,feature,feat_therapeutic_superclass,int64,none,0,0,one-hot encoded
feat_therapeutic_superclass_Musculoskeletal,feature,feat_therapeutic_superclass,int64,none,0,0,one-hot encoded
feat_therapeutic_superclass_Oncology,feature,feat_therapeutic_superclass,int64,none,0,0,one-hot encoded
feat_therapeutic_superclass_Other,feature,feat_therapeutic_superclass,int64,none,0,0,one-hot encoded
feat_therapeutic_superclass_Respiratory,feature,feat_therapeutic_superclass,int64,none,0,0,one-hot encoded
split,split,split,object,none,0,0,other
